mrna_id	n_lncRNAs	GeneID	Symbol	description	type_of_gene	match_type
LOC111134544	27	111134544	LOC111134544	phosphatidylinositol 4-kinase type 2-beta-like	protein-coding	Symbol
LOC111134682	27	111134682	LOC111134682	collagen alpha-6(VI) chain-like	protein-coding	Symbol
LOC111134796	27	111134796	LOC111134796	uncharacterized LOC111134796	protein-coding	Symbol
LOC111134837	27	111134837	LOC111134837	uncharacterized LOC111134837	protein-coding	Symbol
LOC111134953	27	111134953	LOC111134953	uncharacterized LOC111134953	protein-coding	Symbol
LOC111135084	27	111135084	LOC111135084	programmed cell death 6-interacting protein-like	protein-coding	Symbol
LOC111135086	27	111135086	LOC111135086	uncharacterized LOC111135086	protein-coding	Symbol
LOC111135632	27	111135632	LOC111135632	palmitoyltransferase ZDHHC22-like	protein-coding	Symbol
LOC111135764	27	111135764	LOC111135764	uncharacterized LOC111135764	protein-coding	Symbol
LOC111136937	27	111136937	LOC111136937	polyamine-transporting ATPase 13A3-like	protein-coding	Symbol
LOC111137122	27	111137122	LOC111137122	cyclin-D1-binding protein 1 homolog	protein-coding	Symbol
LOC111137432	27	111137432	LOC111137432	glyoxylate reductase/hydroxypyruvate reductase-like	protein-coding	Symbol
LOC111138041	27	111138041	LOC111138041	uncharacterized LOC111138041	protein-coding	Symbol
LOC111138047	27	111138047	LOC111138047	adipose-secreted signaling protein-like	protein-coding	Symbol
LOC111138159	27	NA	NA	NA	NA	NA
LOC111138305	27	111138305	LOC111138305	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16-like	protein-coding	Symbol
LOC111099196	26	111099196	LOC111099196	BICD family-like cargo adapter 1	protein-coding	Symbol
LOC111100510	26	111100510	LOC111100510	uncharacterized LOC111100510	protein-coding	Symbol
LOC111103557	26	111103557	LOC111103557	NADP-dependent malic enzyme-like	protein-coding	Symbol
LOC111103579	26	111103579	LOC111103579	uncharacterized LOC111103579	protein-coding	Symbol
LOC111103592	26	NA	NA	NA	NA	NA
LOC111104108	26	NA	NA	NA	NA	NA
LOC111107422	26	111107422	LOC111107422	putative receptor-type tyrosine-protein phosphatase mosPTP-1	protein-coding	Symbol
LOC111108312	26	NA	NA	NA	NA	NA
LOC111110039	26	NA	NA	NA	NA	NA
LOC111110435	26	111110435	LOC111110435	nuclear envelope integral membrane protein 1-like	protein-coding	Symbol
LOC111110619	26	NA	NA	NA	NA	NA
LOC111111498	26	111111498	LOC111111498	uncharacterized LOC111111498	protein-coding	Symbol
LOC111112130	26	111112130	LOC111112130	uncharacterized LOC111112130	protein-coding	Symbol
LOC111114498	26	111114498	LOC111114498	ras-related protein Rab-18-like	protein-coding	Symbol
LOC111114806	26	111114806	LOC111114806	uncharacterized LOC111114806	pseudo	Symbol
LOC111115612	26	111115612	LOC111115612	formin-like protein	protein-coding	Symbol
LOC111118211	26	111118211	LOC111118211	nuclear pore membrane glycoprotein 210-like	protein-coding	Symbol
LOC111118482	26	NA	NA	NA	NA	NA
LOC111119314	26	NA	NA	NA	NA	NA
LOC111120186	26	111120186	LOC111120186	nudC domain-containing protein 3-like	protein-coding	Symbol
LOC111120676	26	111120676	LOC111120676	calcium-dependent protein kinase C-like	protein-coding	Symbol
LOC111120850	26	111120850	LOC111120850	methionine aminopeptidase 1-like	protein-coding	Symbol
LOC111121747	26	NA	NA	NA	NA	NA
LOC111122929	26	111122929	LOC111122929	ubiquitin carboxyl-terminal hydrolase 37-like	protein-coding	Symbol
LOC111123601	26	111123601	LOC111123601	uncharacterized LOC111123601	protein-coding	Symbol
LOC111124618	26	111124618	LOC111124618	GH3 domain-containing protein-like	protein-coding	Symbol
LOC111124692	26	111124692	LOC111124692	kin of IRRE-like protein 1	protein-coding	Symbol
LOC111125118	26	111125118	LOC111125118	F-box/LRR-repeat protein 6-like	protein-coding	Symbol
LOC111125946	26	111125946	LOC111125946	protein unc-45 homolog B-like	protein-coding	Symbol
LOC111126155	26	111126155	LOC111126155	uncharacterized LOC111126155	protein-coding	Symbol
LOC111129018	26	111129018	LOC111129018	glutathione-specific gamma-glutamylcyclotransferase 1-like	protein-coding	Symbol
LOC111129520	26	111129520	LOC111129520	uncharacterized LOC111129520	protein-coding	Symbol
LOC111129675	26	111129675	LOC111129675	uncharacterized LOC111129675	protein-coding	Symbol
LOC111130474	26	111130474	LOC111130474	uncharacterized LOC111130474	protein-coding	Symbol
LOC111130637	26	NA	NA	NA	NA	NA
LOC111130767	26	111130767	LOC111130767	sodium-dependent phosphate transport protein 2B-like	protein-coding	Symbol
LOC111135757	26	111135757	LOC111135757	uncharacterized LOC111135757	protein-coding	Symbol
LOC111135858	26	111135858	LOC111135858	exocyst complex component 6B-like	protein-coding	Symbol
LOC111136102	26	111136102	LOC111136102	TRPL translocation defect protein 14-like	protein-coding	Symbol
LOC111136141	26	111136141	LOC111136141	WD repeat-containing protein 44-like	protein-coding	Symbol
LOC111136758	26	111136758	LOC111136758	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6-like	protein-coding	Symbol
