mrna_id	mrna_id_clean	GeneID	Symbol	description	type_of_gene	match_type
LOC111119018	LOC111119018	111119018	LOC111119018	RNA helicase aquarius-like	protein-coding	Symbol
LOC111119019	LOC111119019	NA	NA	NA	NA	NA
LOC111119020	LOC111119020	NA	NA	NA	NA	NA
LOC111119021	LOC111119021	111119021	LOC111119021	uncharacterized LOC111119021	protein-coding	Symbol
LOC111119022	LOC111119022	NA	NA	NA	NA	NA
LOC111119023	LOC111119023	111119023	LOC111119023	eukaryotic translation initiation factor 3 subunit B-like	protein-coding	Symbol
LOC111119024	LOC111119024	NA	NA	NA	NA	NA
LOC111119025	LOC111119025	NA	NA	NA	NA	NA
LOC111119026	LOC111119026	NA	NA	NA	NA	NA
LOC111119027	LOC111119027	NA	NA	NA	NA	NA
LOC111119028	LOC111119028	NA	NA	NA	NA	NA
LOC111119029	LOC111119029	NA	NA	NA	NA	NA
LOC111119030	LOC111119030	NA	NA	NA	NA	NA
LOC111119031	LOC111119031	111119031	LOC111119031	glucosaminyl-phosphatidylinositol-acyltransferase PIGW-like	protein-coding	Symbol
LOC111119032	LOC111119032	NA	NA	NA	NA	NA
LOC111119033	LOC111119033	NA	NA	NA	NA	NA
LOC111119034	LOC111119034	NA	NA	NA	NA	NA
LOC111119035	LOC111119035	NA	NA	NA	NA	NA
LOC111119036	LOC111119036	111119036	LOC111119036	actin, cytoplasmic-like	protein-coding	Symbol
LOC111119037	LOC111119037	111119037	LOC111119037	uncharacterized LOC111119037	protein-coding	Symbol
LOC111119038	LOC111119038	NA	NA	NA	NA	NA
LOC111119039	LOC111119039	NA	NA	NA	NA	NA
LOC111119040	LOC111119040	111119040	LOC111119040	small ribosomal subunit protein uS5	protein-coding	Symbol
LOC111119041	LOC111119041	NA	NA	NA	NA	NA
LOC111119042	LOC111119042	NA	NA	NA	NA	NA
LOC111119043	LOC111119043	111119043	LOC111119043	uncharacterized LOC111119043	protein-coding	Symbol
LOC111119044	LOC111119044	111119044	LOC111119044	heat shock protein hsp-16.2-like	protein-coding	Symbol
LOC111119045	LOC111119045	NA	NA	NA	NA	NA
LOC111119046	LOC111119046	111119046	LOC111119046	uncharacterized LOC111119046	protein-coding	Symbol
LOC111119047	LOC111119047	NA	NA	NA	NA	NA
LOC111119049	LOC111119049	111119049	LOC111119049	uncharacterized LOC111119049	protein-coding	Symbol
LOC111119050	LOC111119050	111119050	LOC111119050	tyrosine-protein kinase transmembrane receptor Ror2-like	protein-coding	Symbol
LOC111119051	LOC111119051	111119051	LOC111119051	histone H2A-like	protein-coding	Symbol
LOC111119052	LOC111119052	NA	NA	NA	NA	NA
LOC111119053	LOC111119053	111119053	LOC111119053	metalloprotease TIKI1-like	protein-coding	Symbol
LOC111119054	LOC111119054	111119054	LOC111119054	very long chain fatty acid elongase 2-like	protein-coding	Symbol
LOC111119055	LOC111119055	111119055	LOC111119055	U6 snRNA-associated Sm-like protein LSm4	protein-coding	Symbol
LOC111119056	LOC111119056	111119056	LOC111119056	metalloreductase STEAP4-like	protein-coding	Symbol
LOC111119057	LOC111119057	111119057	LOC111119057	tyrosyl-DNA phosphodiesterase 2-like	protein-coding	Symbol
LOC111119058	LOC111119058	111119058	LOC111119058	vesicle transport through interaction with t-SNAREs homolog 1A-like	protein-coding	Symbol
LOC111119059	LOC111119059	NA	NA	NA	NA	NA
LOC111119060	LOC111119060	NA	NA	NA	NA	NA
LOC111119061	LOC111119061	NA	NA	NA	NA	NA
LOC111119063	LOC111119063	111119063	LOC111119063	uncharacterized LOC111119063	protein-coding	Symbol
LOC111119064	LOC111119064	111119064	LOC111119064	glutamate receptor 2-like	protein-coding	Symbol
LOC111119065	LOC111119065	111119065	LOC111119065	microfibril-associated glycoprotein 4-like	protein-coding	Symbol
LOC111119066	LOC111119066	111119066	LOC111119066	WD repeat-containing protein 76-like	protein-coding	Symbol
LOC111119067	LOC111119067	111119067	LOC111119067	fibrinogen-like protein A	protein-coding	Symbol
LOC111119068	LOC111119068	111119068	LOC111119068	microfibril-associated glycoprotein 4-like	protein-coding	Symbol
LOC111119069	LOC111119069	111119069	LOC111119069	prostaglandin E2 receptor EP4 subtype-like	protein-coding	Symbol
LOC111119070	LOC111119070	111119070	LOC111119070	uncharacterized LOC111119070	protein-coding	Symbol
LOC111119071	LOC111119071	111119071	LOC111119071	large ribosomal subunit protein uL11-like	protein-coding	Symbol
LOC111119072	LOC111119072	111119072	LOC111119072	tyrosine-protein kinase Yes-like	protein-coding	Symbol
LOC111119073	LOC111119073	111119073	LOC111119073	uncharacterized LOC111119073	protein-coding	Symbol
LOC111119074	LOC111119074	NA	NA	NA	NA	NA
LOC111119075	LOC111119075	NA	NA	NA	NA	NA
LOC111119076	LOC111119076	NA	NA	NA	NA	NA
LOC111119077	LOC111119077	NA	NA	NA	NA	NA
LOC111119078	LOC111119078	111119078	LOC111119078	L-rhamnonate dehydratase-like	protein-coding	Symbol
