gene_id	S12M	S13M	S16F	S19F	S22F	S23M	S29F	S31M	S35F	S36F	S39F	S3F	S41F	S44F	S48M	S50F	S52F	S53F	S54F	S59M	S64M	S6M	S76F	S77F	S7M	S9M
LOC111133645	6.79096	21.9928	0.905568	0.757606	0.287554	7.78996	2.3279	18.3138	0.324218	0.102964	3.23648	2.99174	0.307804	1.349202	15.67874	0.701326	2.41868	1.9794	3.82578	3.48314	0.37546	9.09808	0.487412	0	18.4079	34.40486
LOC111133646	22.64773	8.74667	2.118519	0.56104	0.14415400954584	20.11872	0.631598	23.4164	0.645902	0.22715	0.97626	2.322578	2.172849	1.06873	20.54721	0	3.68832	0	0.515759	3.4173620000000002	6.3145999999999995	37.628710000000005	2.469674	0.250918	25.74679	27.29403
LOC111133647	11.2278	19.0743	0	0.156844	0.510862	5.68611	5.134580331526	9.53338	0.304739	0	0	1.29566	0.382314	0.368828	25.7851	0.538757	2.89406	0.70481600221662	0.346371	8.22263	9.72152	20.5314	1.99753	0	8.49745	22.3178
LOC111133648	3.9812060000000002	3.76055	10.9306	0	0.185898	0.846545	4.00708	3.13615	7.15686	1.01981	0.93685	0.879542	1.69334	0.222551	3.56062	7.2717	11.1344	0.695308	0	0.400186	1.50141	16.8563	2.77501	2.14525	7.14552	7.80609
LOC111133649	6.19488	7.92784	0.958155	0.396636	0.772083	14.55225	6.5132900000000005	12.555710000000001	6.60106	5.6951	6.51298	13.50067	0.488003	9.50319	9.7105	2.93837	1.23585	7.43943	10.25405	0.90614	4.52243	2.34281	1.851689	0.347648	8.87867	18.61197
LOC111133650	11.3789	4.33863	0	0	0.337915	9.5603	0.519124	14.1953	0.507872	0	0	0.674619	1.15362	0.495995	11.6993	0	2.27693	0.419203	0.9877	2.10394	1.07955	8.31748	0	0.785855	17.0265	27.7712
LOC111133651	68.04898	70.92452	18.888440000000003	67.25653	58.72921900000001	60.41380000000001	28.00218	55.799150000000004	53.43994213100999	57.53528999999999	62.75697	64.02897000000002	48.732836695	37.19062999999999	62.199830000000006	51.84537999999999	28.172400000000003	40.435803789999994	45.803332	15.895940000000001	29.105982000000004	65.36023	75.197	77.238256	58.43329000000001	63.73467
LOC111133654	31.1241	24.9079	15.3029	29.3244	42.2038	27.0072	22.7994	29.9973	42.8439	43.1972	33.9843	34.7415	30.7288	13.8981	34.9097	31.5529	14.1873	35.9346	34.9452	8.8857	18.2033	25.6416	38.1072	47.6334	31.3085	31.3905
LOC111133656	38.8763	41.458600000000004	54.1135	2.993116	7.95945	42.978899999999996	48.959700000000005	38.521100000000004	6.47058	16.77366	9.233669999999998	13.30446	30.03212	23.670540000000003	38.2942	20.06794	48.7313	7.43601	28.11326	33.80366	14.94798	49.4292	7.23659	4.28843	42.3633	45.1761
LOC111133657	40.6338	31.7702	4.32488	2.1581	1.982712	38.198	4.23298	27.1614	3.8978	1.747618	2.01414	3.83612	4.68028	1.879148	39.3762	2.01948	6.33746	3.05368	4.39568	5.95084	16.94652	32.4624	2.8955	4.9879	35.9512	33.697
LOC111133658	29.5925	25.8226	14.7315	180.97	144.048	29.2475	29.0904	33.5211	119.75	88.0298	273.331	197.783	94.7695	23.7388	29.0469	99.699	48.4767	68.5477	71.5644	17.9053	18.9355	31.8691	80.6401	151.838	28.4036	30.995
LOC111133659	49.6836	47.04475	2.60584	1.24615	1.31857	41.49157	3.251378	31.877699999999997	1.5430949	0.551128	1.47575	3.324395	3.34871	2.190426	52.876599999999996	2.24954	4.626809	2.602713	2.15885	12.674368	17.466095999999997	41.4829	1.7260179999999998	0.737559	42.7121	46.8076
LOC111133660	19.16312	28.288	3.67064	0.1418126	0.400632	26.8146	1.69822	26.5902	1.35511	0.71743	1.638252	2.20586	1.859004	3.65066	27.6298	1.117362	14.65184	0.626174	1.03517	12.48718	8.16914	25.747	1.086742	0.575362	27.1292	19.45068
LOC111133661	26.1972	27.9057	10.9175	87.5814	63.2772	38.7759	25.4034	29.9401	74.1702	60.0692	71.555	59.7096	51.4966	12.758	21.0811	50.456	13.2209	47.7043	53.3865	11.3699	18.6798	24.8058	79.8262	73.3745	28.7193	25.0334
LOC111133662	38.1954	21.3124	478.716	330.192	286.718	46.8197	281.32	12.5239	129.262	601.8	166.323	296.924	257.313	114.977	22.0257	449.83	270.86	456.495	249.871	0.836292	95.0467	31.8132	248.385	97.7374	23.1923	21.9863
LOC111133663	28.1598	32.8356	0.35106	2.10758	1.537206	31.7512	3.52084	27.4412	2.73114	1.133972	1.229742	3.51184	3.65538	1.36313	30.0608	2.01146	2.24432	1.283688	5.92852	5.09498	7.85436	29.4924	2.58934	1.547808	29.3722	27.9696
LOC111133664	20.7809	19.9223	9.49799	70.4089	21.3692	23.3079	17.9354	22.9697	43.5744	40.6177	26.7562	47.2706	36.1008	11.6975	19.9957	24.3439	17.1842	28.8303	35.9159	5.7504	10.5926	21.855	23.2444	18.6011	18.9102	22.6317
